engine;pkg;cpu;sleep;diff
knuth_b;2.30;0.095925180;1.91;.39
knuth_b;2.32;0.095923008;1.89;.43
knuth_b;3.10;0.096614025;1.92;1.18
knuth_b;2.30;0.096160623;1.95;.35
knuth_b;2.29;0.096080876;1.92;.37
knuth_b;2.30;0.096102096;1.87;.43
knuth_b;2.34;0.096061227;1.86;.48
knuth_b;2.28;0.096040405;1.90;.38
knuth_b;2.28;0.096190389;1.94;.34
knuth_b;2.28;0.096041752;1.91;.37
knuth_b;2.29;0.096210231;1.91;.38
knuth_b;2.46;0.096197330;1.90;.56
knuth_b;2.29;0.096156481;1.91;.38
knuth_b;2.31;0.096160439;2.00;.31
knuth_b;2.28;0.096144810;1.92;.36
knuth_b;2.31;0.096160941;1.92;.39
knuth_b;2.47;0.096130097;1.90;.57
knuth_b;2.29;0.096122868;1.91;.38
knuth_b;2.31;0.096139499;1.99;.32
knuth_b;2.30;0.096181050;1.88;.42
knuth_b;2.27;0.096083870;1.92;.35
knuth_b;2.34;0.096087462;1.90;.44
knuth_b;2.30;0.096078030;1.92;.38
knuth_b;2.30;0.096051303;1.89;.41
knuth_b;2.31;0.096214690;1.91;.40
knuth_b;2.29;0.096173172;1.91;.38
knuth_b;2.28;0.096144088;1.87;.41
knuth_b;2.27;0.096141403;1.91;.36
knuth_b;2.31;0.096056550;1.89;.42
knuth_b;2.28;0.096240948;1.90;.38
knuth_b;2.30;0.096070411;1.92;.38
knuth_b;2.26;0.096162312;1.91;.35
knuth_b;2.30;0.096156817;1.91;.39
knuth_b;2.34;0.096188465;1.88;.46
knuth_b;2.28;0.096129340;1.91;.37
knuth_b;2.31;0.096172116;1.91;.40
knuth_b;2.26;0.096185775;1.92;.34
knuth_b;2.28;0.096181328;1.91;.37
knuth_b;2.45;0.096039966;1.88;.57
knuth_b;2.31;0.096050920;1.89;.42
knuth_b;2.30;0.096084711;2.00;.30
knuth_b;2.28;0.096131495;1.88;.40
knuth_b;2.31;0.096135185;1.91;.40
knuth_b;2.52;0.096158449;1.91;.61
knuth_b;2.30;0.096092472;1.91;.39
knuth_b;2.32;0.096193417;2.06;.26
knuth_b;2.31;0.096133190;1.91;.40
knuth_b;2.32;0.096075069;1.90;.42
knuth_b;2.48;0.096157604;1.90;.58
knuth_b;2.29;0.096100276;2.03;.26
knuth_b;2.32;0.096141053;1.96;.36
knuth_b;2.27;0.096145227;1.91;.36
knuth_b;2.29;0.096092402;1.91;.38
knuth_b;2.30;0.096077133;1.91;.39
knuth_b;2.28;0.096114473;1.88;.40
knuth_b;2.32;0.096125714;1.95;.37
knuth_b;2.28;0.096144975;1.91;.37
knuth_b;2.30;0.096022242;1.92;.38
knuth_b;2.26;0.096196125;1.87;.39
knuth_b;2.32;0.096091026;1.92;.40
knuth_b;2.32;0.096193056;1.86;.46
knuth_b;2.31;0.096044643;1.92;.39
knuth_b;2.30;0.096131034;1.91;.39
knuth_b;2.28;0.096209737;1.91;.37
knuth_b;2.31;0.096159336;1.91;.40
knuth_b;2.33;0.096148520;1.90;.43
knuth_b;2.30;0.096194297;1.92;.38
knuth_b;2.33;0.096188000;1.94;.39
knuth_b;2.29;0.096004125;1.88;.41
knuth_b;2.30;0.096031831;1.89;.41
knuth_b;2.49;0.096030885;1.87;.62
knuth_b;2.31;0.096071598;1.87;.44
knuth_b;2.31;0.096204956;2.07;.24
knuth_b;2.26;0.096195424;1.91;.35
knuth_b;2.30;0.096171902;1.91;.39
knuth_b;2.48;0.096126523;1.90;.58
knuth_b;2.28;0.096148386;1.91;.37
knuth_b;2.30;0.096130784;2.02;.28
knuth_b;2.29;0.096098232;1.89;.40
knuth_b;2.31;0.096122506;1.89;.42
knuth_b;2.37;0.096106553;1.92;.45
knuth_b;2.30;0.096092273;1.91;.39
knuth_b;2.31;0.096170586;1.95;.36
knuth_b;2.30;0.096053258;1.91;.39
knuth_b;2.32;0.096197468;1.92;.40
knuth_b;2.28;0.096024004;1.91;.37
knuth_b;2.31;0.096174186;1.92;.39
knuth_b;2.32;0.096151206;1.90;.42
knuth_b;2.29;0.096163542;1.92;.37
knuth_b;2.31;0.096179134;1.94;.37
knuth_b;2.25;0.096193720;1.91;.34
knuth_b;2.27;0.096127266;1.92;.35
knuth_b;2.37;0.096134376;1.87;.50
knuth_b;2.31;0.096111047;1.91;.40
knuth_b;2.29;0.096137468;1.93;.36
knuth_b;2.29;0.096122648;1.90;.39
knuth_b;2.31;0.096186370;1.91;.40
knuth_b;2.42;0.096224126;1.89;.53
knuth_b;2.29;0.096060482;1.87;.42
knuth_b;2.30;0.096128486;2.00;.30
minstd_rand0;0.87;0.036621614;0.72;.15
minstd_rand0;0.89;0.036669594;0.72;.17
minstd_rand0;0.86;0.036629438;0.73;.13
minstd_rand0;0.90;0.036646040;0.75;.15
minstd_rand0;0.88;0.036611856;0.75;.13
minstd_rand0;0.89;0.036673892;0.75;.14
minstd_rand0;0.86;0.036553477;0.73;.13
minstd_rand0;0.90;0.036652581;0.76;.14
minstd_rand0;0.86;0.036616054;0.73;.13
minstd_rand0;1.08;0.036636932;0.74;.34
minstd_rand0;0.85;0.036646741;0.73;.12
minstd_rand0;0.90;0.036681797;0.75;.15
minstd_rand0;0.86;0.036642492;0.73;.13
minstd_rand0;0.87;0.036627384;0.72;.15
minstd_rand0;0.89;0.036662561;0.87;.02
minstd_rand0;0.87;0.036666828;0.74;.13
minstd_rand0;0.89;0.036677398;0.73;.16
minstd_rand0;0.85;0.036635309;0.73;.12
minstd_rand0;0.90;0.036616594;0.75;.15
minstd_rand0;0.87;0.036610352;0.72;.15
minstd_rand0;1.04;0.036502652;0.70;.34
minstd_rand0;0.88;0.036648655;0.75;.13
minstd_rand0;0.86;0.036668141;0.73;.13
minstd_rand0;0.90;0.036635790;0.74;.16
minstd_rand0;0.87;0.036579044;0.76;.11
minstd_rand0;0.88;0.036629458;0.84;.04
minstd_rand0;0.87;0.036665095;0.72;.15
minstd_rand0;0.89;0.036650167;0.77;.12
minstd_rand0;0.86;0.036633316;0.73;.13
minstd_rand0;0.90;0.036638865;0.76;.14
minstd_rand0;0.87;0.036664484;0.73;.14
minstd_rand0;0.94;0.036670686;0.71;.23
minstd_rand0;0.90;0.036589053;0.73;.17
minstd_rand0;0.86;0.036594113;0.73;.13
minstd_rand0;0.90;0.036629299;0.76;.14
minstd_rand0;0.87;0.036605415;0.76;.11
minstd_rand0;0.92;0.036607357;0.78;.14
minstd_rand0;0.87;0.036611264;0.75;.12
minstd_rand0;0.86;0.036658193;0.73;.13
minstd_rand0;0.89;0.036633627;0.75;.14
minstd_rand0;0.87;0.036637122;0.73;.14
minstd_rand0;0.89;0.036639978;0.80;.09
minstd_rand0;0.94;0.036706092;0.70;.24
minstd_rand0;0.85;0.036650918;0.73;.12
minstd_rand0;0.88;0.036639247;0.75;.13
minstd_rand0;0.90;0.036665115;0.73;.17
minstd_rand0;0.89;0.036667620;0.73;.16
minstd_rand0;1.01;0.036630471;0.78;.23
minstd_rand0;0.83;0.036684662;0.72;.11
minstd_rand0;0.89;0.036659274;0.75;.14
minstd_rand0;0.89;0.036630110;0.73;.16
minstd_rand0;0.90;0.036638817;0.75;.15
minstd_rand0;0.91;0.036619530;0.71;.20
minstd_rand0;0.88;0.036650197;0.75;.13
minstd_rand0;0.86;0.036639918;0.74;.12
minstd_rand0;0.90;0.036631693;0.75;.15
minstd_rand0;0.91;0.036685984;0.73;.18
minstd_rand0;1.09;0.036649767;0.74;.35
minstd_rand0;0.89;0.036646771;0.72;.17
minstd_rand0;0.88;0.036680654;0.74;.14
minstd_rand0;0.89;0.036672749;0.75;.14
minstd_rand0;0.87;0.036661779;0.74;.13
minstd_rand0;0.90;0.036633065;0.86;.04
minstd_rand0;0.88;0.036696533;0.71;.17
minstd_rand0;0.88;0.036629208;0.76;.12
minstd_rand0;0.87;0.036663512;0.73;.14
minstd_rand0;0.89;0.036619399;0.74;.15
minstd_rand0;0.90;0.036679592;0.76;.14
minstd_rand0;1.06;0.036624970;0.73;.33
minstd_rand0;0.88;0.036651580;0.72;.16
minstd_rand0;0.86;0.036679552;0.74;.12
minstd_rand0;0.89;0.036607888;0.73;.16
minstd_rand0;0.86;0.036626843;0.76;.10
minstd_rand0;0.87;0.036624890;0.84;.03
minstd_rand0;0.86;0.036639307;0.73;.13
minstd_rand0;0.89;0.036659494;0.75;.14
minstd_rand0;0.86;0.036671326;0.74;.12
minstd_rand0;0.89;0.036650387;0.73;.16
minstd_rand0;0.88;0.036679593;0.73;.15
minstd_rand0;1.10;0.036651489;0.72;.38
minstd_rand0;0.85;0.036642593;0.73;.12
minstd_rand0;0.89;0.036630801;0.75;.14
minstd_rand0;0.86;0.036635791;0.73;.13
minstd_rand0;0.89;0.036656439;0.76;.13
minstd_rand0;0.89;0.036613208;0.88;.01
minstd_rand0;0.88;0.036645399;0.75;.13
minstd_rand0;0.86;0.036667409;0.73;.13
minstd_rand0;0.87;0.036665416;0.74;.13
minstd_rand0;0.90;0.036629388;0.75;.15
minstd_rand0;0.87;0.036656439;0.74;.13
minstd_rand0;1.03;0.036789728;0.76;.27
minstd_rand0;0.88;0.036721330;0.74;.14
minstd_rand0;0.89;0.036645519;0.76;.13
minstd_rand0;0.90;0.036637383;0.74;.16
minstd_rand0;0.90;0.036644386;0.76;.14
minstd_rand0;0.90;0.036662801;0.82;.08
minstd_rand0;0.87;0.036616794;0.74;.13
minstd_rand0;0.87;0.036617415;0.72;.15
minstd_rand0;0.89;0.036632144;0.74;.15
minstd_rand0;0.90;0.036654625;0.75;.15
minstd_rand;0.87;0.036572742;0.75;.12
minstd_rand;0.98;0.036637243;0.73;.25
minstd_rand;0.85;0.036589865;0.73;.12
minstd_rand;0.89;0.036623588;0.74;.15
minstd_rand;0.90;0.036642002;0.76;.14
minstd_rand;0.87;0.036639999;0.74;.13
minstd_rand;0.95;0.036684421;0.78;.17
minstd_rand;0.86;0.036669013;0.73;.13
minstd_rand;0.90;0.036640880;0.76;.14
minstd_rand;0.86;0.036658052;0.73;.13
minstd_rand;0.90;0.036653433;0.76;.14
minstd_rand;0.87;0.036602368;0.75;.12
minstd_rand;0.91;0.036609992;0.74;.17
minstd_rand;0.86;0.036500187;0.76;.10
minstd_rand;0.87;0.036604873;0.73;.14
minstd_rand;0.87;0.036608219;0.72;.15
minstd_rand;0.91;0.036622696;0.76;.15
minstd_rand;1.01;0.036483346;0.78;.23
minstd_rand;0.84;0.036591227;0.73;.11
minstd_rand;0.89;0.036605173;0.75;.14
minstd_rand;0.86;0.036617697;0.72;.14
minstd_rand;0.87;0.036584505;0.73;.14
minstd_rand;0.89;0.036626232;0.83;.06
minstd_rand;0.85;0.036626423;0.71;.14
minstd_rand;0.87;0.036685252;0.73;.14
minstd_rand;0.86;0.036661969;0.73;.13
minstd_rand;0.89;0.036632444;0.73;.16
minstd_rand;0.90;0.036668431;0.75;.15
minstd_rand;1.02;0.036648784;0.72;.30
minstd_rand;0.88;0.036640228;0.72;.16
minstd_rand;0.86;0.036604422;0.73;.13
minstd_rand;0.90;0.036647973;0.72;.18
minstd_rand;0.86;0.036619751;0.74;.12
minstd_rand;0.90;0.036621473;0.89;.01
minstd_rand;0.89;0.036932845;0.72;.17
minstd_rand;0.88;0.036617767;0.80;.08
minstd_rand;0.86;0.036642413;0.73;.13
minstd_rand;0.90;0.036618488;0.74;.16
minstd_rand;0.89;0.036655397;0.72;.17
minstd_rand;1.10;0.036685112;0.72;.38
minstd_rand;0.88;0.036624619;0.75;.13
minstd_rand;0.89;0.036639046;0.72;.17
minstd_rand;0.90;0.036621343;0.76;.14
minstd_rand;0.89;0.036634638;0.76;.13
minstd_rand;0.83;0.036603249;0.72;.11
minstd_rand;0.88;0.036620201;0.75;.13
minstd_rand;0.86;0.036592660;0.73;.13
minstd_rand;0.86;0.036512119;0.73;.13
minstd_rand;0.86;0.036612346;0.73;.13
minstd_rand;1.05;0.036628988;0.71;.34
minstd_rand;0.88;0.036614241;0.73;.15
minstd_rand;0.89;0.036648635;0.75;.14
minstd_rand;0.89;0.036640419;0.74;.15
minstd_rand;0.90;0.036583132;0.76;.14
minstd_rand;0.88;0.036642613;0.87;.01
minstd_rand;0.85;0.036627835;0.73;.12
minstd_rand;0.86;0.036599101;0.73;.13
minstd_rand;0.89;0.036671948;0.74;.15
minstd_rand;0.89;0.036638345;0.76;.13
minstd_rand;0.87;0.036591087;0.74;.13
minstd_rand;0.99;0.036620803;0.72;.27
minstd_rand;0.89;0.036645488;0.76;.13
minstd_rand;0.89;0.036634327;0.73;.16
minstd_rand;0.87;0.036611605;0.72;.15
minstd_rand;0.89;0.036647321;0.73;.16
minstd_rand;0.94;0.036518942;0.81;.13
minstd_rand;0.84;0.036623568;0.75;.09
minstd_rand;0.89;0.036511408;0.73;.16
minstd_rand;0.90;0.036654355;0.76;.14
minstd_rand;0.87;0.036616354;0.74;.13
minstd_rand;0.90;0.036658754;0.76;.14
minstd_rand;0.95;0.036652842;0.72;.23
minstd_rand;0.88;0.036646450;0.75;.13
minstd_rand;0.86;0.036632363;0.74;.12
minstd_rand;0.90;0.036640298;0.75;.15
minstd_rand;0.86;0.036643996;0.73;.13
minstd_rand;1.00;0.036532628;0.78;.22
